ASIN,buy_box_seller_name,buy_box_seller_price,lowest_price_seller_name,lowest_price_seller_price,seller_2_name,seller_2_price,seller_3_name,seller_3_price,seller_4_name,seller_4_price,seller_5_name,seller_5_price,seller_6_name,seller_6_price
B07DDBTPSW,,,,,,,,,,,,,,
B07DDDMF3C,,,,,,,,,,,,,,
B07DDDLMXQ,,,,,,,,,,,,,,
B07DDD9MG3,,,,,,,,,,,,,,
B07DDFHS39,,,,,,,,,,,,,,
B07DDD5TZR,,,,,,,,,,,,,,
B07DDDT7L7,,,,,,,,,,,,,,
B07DDDLQBB,,,,,,,,,,,,,,
B07DDCR57T,,,,,,,,,,,,,,
B07DDDFWKH,,,,,,,,,,,,,,
B07DDF8CXT,,,,,,,,,,,,,,
B07F7KFH3B,,,,,,,,,,,,,,
B07F7KQ4CQ,,,,,,,,,,,,,,
B07F7KYHZX,,,,,,,,,,,,,,
B08FLZ92FW,,,,,,,,,,,,,,
B08FLCKGC7,,,,,,,,,,,,,,
B08FKXPPK7,,,,,,,,,,,,,,
B075XBGD6H,,,,,,,,,,,,,,
B01B9R825C,,,,,,,,,,,,,,
B07P5FGS5M,,,,,,,,,,,,,,
B07P5DY4VJ,,,,,,,,,,,,,,
B07P572YJL,,,,,,,,,,,,,,
B07WCX1HJ8,,,,,,,,,,,,,,
B07P57J7VK,,,,,,,,,,,,,,
B01N4O8UV1,,,,,,,,,,,,,,
B07X8BZLGW,,,,,,,,,,,,,,
B07XBC5G6C,,,,,,,,,,,,,,
B07X9GR78Y,,,,,,,,,,,,,,
B08FM76TYM,,,,,,,,,,,,,,
B07HK1DGL7,,,,,,,,,,,,,,
B07HK2XDB1,,,,,,,,,,,,,,
B07HK2XMWC,,,,,,,,,,,,,,
B07HK37JJB,,,,,,,,,,,,,,
B07HK3KN9W,,,,,,,,,,,,,,
B07HK3RMPY,,,,,,,,,,,,,,
B07HK3SSF9,,,,,,,,,,,,,,
B07HK48TWX,,,,,,,,,,,,,,
B07HK4FWPB,,,,,,,,,,,,,,
B07HK4K5VY,,,,,,,,,,,,,,
B07HK4L17K,,,,,,,,,,,,,,
B07HK4T6Y1,,,,,,,,,,,,,,
B07HK4TFGF,,,,,,,,,,,,,,
B07HK4Y997,,,,,,,,,,,,,,
B07HK511QS,,,,,,,,,,,,,,
B07HK53KL7,,,,,,,,,,,,,,
B07HK53KLL,,,,,,,,,,,,,,
B07HK54MG3,,,,,,,,,,,,,,
B07HK57YWQ,,,,,,,,,,,,,,
B07HK5BD9B,,,,,,,,,,,,,,
B07HK5CM4N,,,,,,,,,,,,,,
B07HK5FRSG,,,,,,,,,,,,,,
B07HK5H3HF,,,,,,,,,,,,,,
B07HK5JQRB,,,,,,,,,,,,,,
B07HK5KWVF,,,,,,,,,,,,,,
B07HK5PLPB,,,,,,,,,,,,,,
B07HK5R1BF,,,,,,,,,,,,,,
B07HK5R2L3,,,,,,,,,,,,,,
B07HK5TXD3,,,,,,,,,,,,,,
B07HK5V224,,,,,,,,,,,,,,
B07HK5X1ND,,,,,,,,,,,,,,
B07HK62Y2N,,,,,,,,,,,,,,
B07HK63RW6,,,,,,,,,,,,,,
B07HK69P3Z,,,,,,,,,,,,,,
B07HK6D8JR,,,,,,,,,,,,,,
B07HK6FR31,,,,,,,,,,,,,,
B07HK6HNDL,,,,,,,,,,,,,,
B07HK6JPGJ,,,,,,,,,,,,,,
B07HK6RG5D,,,,,,,,,,,,,,
B07HK6SF5Z,,,,,,,,,,,,,,
B07HK6V4B5,,,,,,,,,,,,,,
B07HK6VDBH,,,,,,,,,,,,,,
B07HK6XZH9,,,,,,,,,,,,,,
B07HK6Z3BL,,,,,,,,,,,,,,
B07HK724JC,,,,,,,,,,,,,,
B07HK74XJ9,,,,,,,,,,,,,,
B07HK7R197,,,,,,,,,,,,,,
B07HK7T4VC,,,,,,,,,,,,,,
B07HK7WKJD,,,,,,,,,,,,,,
B07HK7Y8HW,,,,,,,,,,,,,,
B07HK81M2S,,,,,,,,,,,,,,
B07HK82ZNK,,,,,,,,,,,,,,
B07HK85PF8,,,,,,,,,,,,,,
B07HK8CXF2,,,,,,,,,,,,,,
B07HK8F7LP,,,,,,,,,,,,,,
B07HK8K3VK,,,,,,,,,,,,,,
B07HK8K9VP,,,,,,,,,,,,,,
B07HK8LN2C,,,,,,,,,,,,,,
B07HK8QLH3,,,,,,,,,,,,,,
B07HK8R5LW,,,,,,,,,,,,,,
B07HK8RVJP,,,,,,,,,,,,,,
B07HK8S3B7,,,,,,,,,,,,,,
B07HK9248Q,,,,,,,,,,,,,,
B07HK9249H,,,,,,,,,,,,,,
B07HK924L9,,,,,,,,,,,,,,
B07HK924TD,,,,,,,,,,,,,,
B07HK95K66,,,,,,,,,,,,,,
B07HK9S63K,,,,,,,,,,,,,,
B07HKB4M37,,,,,,,,,,,,,,
B07HKB6QYD,,,,,,,,,,,,,,
B07HKB837F,,,,,,,,,,,,,,
B07HKC79KW,,,,,,,,,,,,,,
B07HKCBHGV,,,,,,,,,,,,,,
B07HKCBPG7,,,,,,,,,,,,,,
B07HKCCTJK,,,,,,,,,,,,,,
B07HKCKFWX,,,,,,,,,,,,,,
B07HKCKFXY,,,,,,,,,,,,,,
B07HKDP38H,,,,,,,,,,,,,,
B07HKDPTB4,,,,,,,,,,,,,,
B07HKDPTCH,,,,,,,,,,,,,,
B07HKF369K,,,,,,,,,,,,,,
B07HKG3985,,,,,,,,,,,,,,
B07HKJHX4Q,,,,,,,,,,,,,,
B07HKKDHRS,,,,,,,,,,,,,,
B07HKKGGS4,,,,,,,,,,,,,,
B07J6F3H5D,,,,,,,,,,,,,,
B07J6GHKYL,,,,,,,,,,,,,,
B07J6GLSQX,,,,,,,,,,,,,,
B07J6HPJBL,,,,,,,,,,,,,,
B07J6HPJCF,,,,,,,,,,,,,,
B082L2YR4W,,,,,,,,,,,,,,
B082L3SX51,,,,,,,,,,,,,,
B082L44RWM,,,,,,,,,,,,,,
B082L33FDZ,,,,,,,,,,,,,,
B082L446VL,,,,,,,,,,,,,,
B082L2X3Z5,,,,,,,,,,,,,,
B082L3DYML,,,,,,,,,,,,,,
B082L2ZPNG,,,,,,,,,,,,,,
B082L31452,,,,,,,,,,,,,,
B082L3DKDR,,,,,,,,,,,,,,
B082L3DHBV,,,,,,,,,,,,,,
B07H7WN15P,,,,,,,,,,,,,,
B082L3DXNM,,,,,,,,,,,,,,
B07H7V37X8,,,,,,,,,,,,,,
B082L3D122,,,,,,,,,,,,,,
B082L3XDTH,,,,,,,,,,,,,,
B082L2V7J2,,,,,,,,,,,,,,
B07H7X9MG3,,,,,,,,,,,,,,
B082L31P4W,,,,,,,,,,,,,,
B082L47BX1,,,,,,,,,,,,,,
B082L3YX1R,,,,,,,,,,,,,,
B082L3J9PR,,,,,,,,,,,,,,
B07H7W7Z51,,,,,,,,,,,,,,
B082L1RW5S,,,,,,,,,,,,,,
B082L3NGYT,,,,,,,,,,,,,,
B07H8PLYNW,,,,,,,,,,,,,,
B07H7WTHKM,,,,,,,,,,,,,,
B082L3K43S,,,,,,,,,,,,,,
B082L3Y3M3,,,,,,,,,,,,,,
B07H7WLLYT,,,,,,,,,,,,,,
B082L3DMYR,,,,,,,,,,,,,,
B082L2YPM9,,,,,,,,,,,,,,
B082L2YVNZ,,,,,,,,,,,,,,
B082L3DK9B,,,,,,,,,,,,,,
B07RPK35F2,,,,,,,,,,,,,,
B07H7VJNN6,,,,,,,,,,,,,,
B082L46C8N,,,,,,,,,,,,,,
B082L3RV5Z,,,,,,,,,,,,,,
B082L37LZG,,,,,,,,,,,,,,
B07H7WPJX2,,,,,,,,,,,,,,
B07H7Y7CYW,,,,,,,,,,,,,,
B082L3YQZS,,,,,,,,,,,,,,
B082L3Y75T,,,,,,,,,,,,,,
B082L3PK53,,,,,,,,,,,,,,
B082L3YGBL,,,,,,,,,,,,,,
B082L4C3JQ,,,,,,,,,,,,,,
B082L2LNL2,,,,,,,,,,,,,,
B082L3W3Q9,,,,,,,,,,,,,,
B082L35B6C,,,,,,,,,,,,,,
B082L2YPMB,,,,,,,,,,,,,,
B082L3QVT5,,,,,,,,,,,,,,
B07RRLT866,,,,,,,,,,,,,,
B07H7VC7VS,,,,,,,,,,,,,,
B082L3G14P,,,,,,,,,,,,,,
B082L3PF61,,,,,,,,,,,,,,
B086LK4PTC,,,,,,,,,,,,,,
B082L483CM,,,,,,,,,,,,,,
B082L3PB2W,,,,,,,,,,,,,,
B082L39W7T,,,,,,,,,,,,,,
B082L3R7YH,,,,,,,,,,,,,,
B082L477FX,,,,,,,,,,,,,,
B082L49R2V,,,,,,,,,,,,,,
B07H7XX2FX,,,,,,,,,,,,,,
B07RNHBCB1,,,,,,,,,,,,,,
B082L3W8WB,,,,,,,,,,,,,,
B07H7KBPKD,,,,,,,,,,,,,,
B07RNH8BPH,,,,,,,,,,,,,,
B082L33K6M,,,,,,,,,,,,,,
B07H7WWXFG,,,,,,,,,,,,,,
B082L3GB9X,,,,,,,,,,,,,,
B07H7XQH1F,,,,,,,,,,,,,,
B082L47GD9,,,,,,,,,,,,,,
B082L39YM7,,,,,,,,,,,,,,
B07H7WZKBV,,,,,,,,,,,,,,
B086LJ1P74,,,,,,,,,,,,,,
B082L3FS64,,,,,,,,,,,,,,
B07H7Y3QKX,,,,,,,,,,,,,,
B082L3L1G1,,,,,,,,,,,,,,
B07H7WBLYS,,,,,,,,,,,,,,
B07H7XDXHS,,,,,,,,,,,,,,
B082L39TQC,,,,,,,,,,,,,,
B07RQHJGK3,,,,,,,,,,,,,,
B082L3P3NL,,,,,,,,,,,,,,
B086LJGFRY,,,,,,,,,,,,,,
B082L37KZC,,,,,,,,,,,,,,
B07RQHHFMJ,,,,,,,,,,,,,,
B07RPK28S6,,,,,,,,,,,,,,
B07H7XCT4Z,,,,,,,,,,,,,,
