ASIN,url,buy_box_seller_name,buy_box_seller_price,lowest_price_seller_name,lowest_price_seller_price,seller_2_name,seller_2_price,seller_3_name,seller_3_price,seller_4_name,seller_4_price,seller_5_name,seller_5_price,seller_6_name,seller_6_price
B08TVYHB4Z,https://www.amazon.in/dp/B08TVYHB4Z/#aod,Cloudtail India,"₹ 36,950.00",Cloudtail India,36950,,,,,,,,,,
B08TVZRMV7,https://www.amazon.in/dp/B08TVZRMV7/#aod,Cloudtail India,"₹ 11,950.00",Cloudtail India,11950,,,,,,,,,,
B086Q4W1KV,https://www.amazon.in/dp/B086Q4W1KV/#aod,Cloudtail India,₹ 400.00,Cloudtail India,400,,,,,,,,,,
B08TVYSGXD,https://www.amazon.in/dp/B08TVYSGXD/#aod,Cloudtail India,"₹ 4,600.00",Cloudtail India,4600,,,,,,,,,,
B08TVZ18HV,https://www.amazon.in/dp/B08TVZ18HV/#aod,Cloudtail India,"₹ 18,450.00",Cloudtail India,18450,,,,,,,,,,
B08TVZJRRR,https://www.amazon.in/dp/B08TVZJRRR/#aod,Cloudtail India,"₹ 7,649.00",Cloudtail India,7649,,,,,,,,,,
B08TVYGCVV,https://www.amazon.in/dp/B08TVYGCVV/#aod,Cloudtail India,"₹ 15,400.00",Cloudtail India,15400,,,,,,,,,,
B08TVZCLYG,https://www.amazon.in/dp/B08TVZCLYG/#aod,Cloudtail India,"₹ 1,850.00",Cloudtail India,1850,,,,,,,,,,
B08TVYS1G6,https://www.amazon.in/dp/B08TVYS1G6/#aod,Cloudtail India,"₹ 7,900.00",Cloudtail India,7900,,,,,,,,,,
B086Q5WS4Q,https://www.amazon.in/dp/B086Q5WS4Q/#aod,Cloudtail India,₹ 644.00,Cloudtail India,644,,,,,,,,,,
B086LJNWG7,https://www.amazon.in/dp/B086LJNWG7/#aod,Cloudtail India,₹ 599.00,Cloudtail India,599,,,,,,,,,,
B07RPK1NN1,https://www.amazon.in/dp/B07RPK1NN1/#aod,Cloudtail India,₹ 497.00,Cloudtail India,497,Visiaro India,₹ 800.00,Industrial M,₹ 800.00,,,,,,
B086Q7BWQP,https://www.amazon.in/dp/B086Q7BWQP/#aod,Cloudtail India,₹ 720.00,Cloudtail India,720,Industrial M,₹ 900.00,Visiaro India,₹ 900.00,,,,,,
B086Q66763,https://www.amazon.in/dp/B086Q66763/#aod,Cloudtail India,₹ 600.00,Cloudtail India,600,Industrial M,₹ 600.00,Visiaro India,₹ 600.00,,,,,,
B086Q77BF9,https://www.amazon.in/dp/B086Q77BF9/#aod,Cloudtail India,₹ 660.00,Cloudtail India,660,Industrial M,₹ 700.00,,,,,,,,
B01MZ18VGW,https://www.amazon.in/dp/B01MZ18VGW/#aod,Cloudtail India,₹ 693.00,Cloudtail India,693,Industrial M,₹ 800.00,Visiaro India,₹ 800.00,,,,,,
B07RNHB5DP,https://www.amazon.in/dp/B07RNHB5DP/#aod,Cloudtail India,₹ 397.00,Cloudtail India,397,Industrial M,₹ 700.00,Visiaro India,₹ 700.00,,,,,,
B07H7XPKJR,https://www.amazon.in/dp/B07H7XPKJR/#aod,Cloudtail India,₹ 645.00,Cloudtail India,645,Industrial M,₹ 800.00,Visiaro India,₹ 800.00,,,,,,
B086Q6YVHZ,https://www.amazon.in/dp/B086Q6YVHZ/#aod,Cloudtail India,₹ 700.00,Cloudtail India,700,Industrial M,₹ 700.00,Visiaro India,₹ 700.00,,,,,,
B07RPK2KLG,https://www.amazon.in/dp/B07RPK2KLG/#aod,Cloudtail India,₹ 400.00,Cloudtail India,400,Industrial M,₹ 400.00,Visiaro India,₹ 400.00,,,,,,
B07H7WNY5L,https://www.amazon.in/dp/B07H7WNY5L/#aod,Cloudtail India,₹ 500.00,Cloudtail India,500,Industrial M,₹ 600.00,Visiaro India,₹ 600.00,,,,,,
B07H84J5PX,https://www.amazon.in/dp/B07H84J5PX/#aod,Cloudtail India,₹ 500.00,Cloudtail India,500,Industrial M,₹ 500.00,Visiaro India,₹ 500.00,,,,,,
B07H7WVTMM,https://www.amazon.in/dp/B07H7WVTMM/#aod,Cloudtail India,₹ 605.00,Cloudtail India,605,Industrial M,₹ 700.00,Visiaro India,₹ 700.00,,,,,,
B086Q5S45L,https://www.amazon.in/dp/B086Q5S45L/#aod,Cloudtail India,₹ 389.00,Cloudtail India,389,Industrial M,₹ 500.00,Visiaro India,₹ 500.00,,,,,,
